,Amplitude,Phase_circle,Phase,Decay_rate,Period,Rhythmicity
TRINITY_DN16249_c0_g1_i7.1,2.157848452,315.9631956,9.320073364,0.914914181,10.61904189,rhythmic
TRINITY_DN18624_c0_g1_i6.1,0.407147993,14.48116348,0.607750755,0.947234339,15.10861142,rhythmic
TRINITY_DN58756_c0_g1_i3.1,0.126675554,74.06284328,1.96578377,0.774012905,9.555157835,nonrhythmic
TRINITY_DN3141_c2_g1_i5.1,0.210246852,22.61222923,0.738612424,1.031569294,11.75914458,rhythmic
TRINITY_DN1573_c0_g1_i15.1,3.952139003,83.192474,2.554967964,1.276089252,11.05614995,nonrhythmic
TRINITY_DN94533_c2_g1_i1.1,5.192108472,134.6537096,4.095658367,0.954055542,10.94984324,rhythmic
TRINITY_DN6099_c0_g1_i11.1,1.195184347,148.0013464,4.096481088,1.052087142,9.96432281,rhythmic
TRINITY_DN19626_c0_g1_i4.1,0.095051228,32.62358155,1.010995014,1.006160158,11.15629209,rhythmic
TRINITY_DN2616_c0_g1_i8.1,0.055581519,171.3586684,7.972531319,1.185908463,16.74914553,rhythmic
TRINITY_DN1661_c0_g1_i3.1,0.164202545,249.3089083,7.57030174,1.053611071,10.93145305,rhythmic
TRINITY_DN9728_c0_g1_i2.1,4.111018701,59.30595665,1.622457627,0.922656902,9.848669149,rhythmic
TRINITY_DN6285_c1_g1_i7.1,0.201753039,269.0265818,9.480192152,0.973590039,12.68599241,rhythmic
TRINITY_DN15625_c0_g1_i5.1,2.665401836,93.24680472,2.664155079,1.08908986,10.2855624,rhythmic
TRINITY_DN683_c1_g1_i1.1,0.762959261,239.8102696,6.229220986,1.2807321,9.351224028,nonrhythmic
TRINITY_DN6588_c1_g1_i2.1,0.902679651,78.23562576,2.695272958,0.910813765,12.40225607,rhythmic
TRINITY_DN6028_c0_g1_i9.1,56.92898499,3.826777931,0.140166259,0.976414838,13.18598941,rhythmic
TRINITY_DN27801_c0_g1_i1.1,4.354537188,310.1443499,13.74290574,0.821097313,15.95207544,rhythmic
TRINITY_DN20346_c0_g1_i1.1,0.061010072,200.7139812,7.622377832,0.971325554,13.67147422,rhythmic
TRINITY_DN27998_c0_g2_i1.1,11.03280902,148.3060202,5.969561946,1.085051847,14.49059382,rhythmic
TRINITY_DN8932_c0_g1_i6.1,17.20787713,339.594067,9.435856716,0.953350471,10.00284972,rhythmic
TRINITY_DN38327_c0_g1_i4.1,0.128243679,71.75781933,2.417568153,0.93950683,12.1286369,rhythmic
TRINITY_DN34090_c0_g1_i10.1,0.250523343,298.5192696,9.853969836,0.871240911,11.88341759,rhythmic
TRINITY_DN8922_c0_g1_i4.1,70.44782336,130.5623123,3.834620296,1.157613721,10.5732143,rhythmic
TRINITY_DN64934_c0_g1_i10.1,0.537232093,228.9034949,8.494689314,0.914265679,13.35972679,rhythmic
TRINITY_DN2421_c0_g1_i20.1,14.52776582,187.2876686,6.340169663,0.89678177,12.18692665,rhythmic
TRINITY_DN12679_c1_g1_i1.1,5.040242561,3.644017004,0.15197169,0.97905394,15.01359854,rhythmic
TRINITY_DN8428_c4_g1_i1.1,0.320675024,46.01782787,1.434964812,1.006308647,11.22580869,rhythmic
TRINITY_DN28884_c0_g1_i5.1,0.165699402,107.4100737,3.964984932,1.36110199,13.28920581,nonrhythmic
TRINITY_DN13254_c0_g3_i1.1,0.017736416,252.2466036,11.98367998,1.112173261,17.10280627,rhythmic
TRINITY_DN23481_c6_g1_i1.1,0.130034677,277.3266196,13.34746809,0.924260446,17.32645975,rhythmic
TRINITY_DN17192_c0_g1_i1.1,1.518841525,40.82335407,1.433117444,0.852904387,12.63791993,rhythmic
TRINITY_DN5073_c0_g1_i8.1,26.47062962,96.99352376,2.949817605,1.091258872,10.94850766,rhythmic
TRINITY_DN4511_c0_g1_i8.1,3.788132571,332.5700528,8.29246032,0.992013995,8.976411706,rhythmic
